state	county	dem_percent_12	dem_percent_16
Kansas	Atchison	38.462691	30.250951
Kansas	Brown	26.947158	21.382557
Kansas	Clay	22.626153	17.722513
Kansas	Decatur	17.362924	12.258953
Kansas	Edwards	21.516245	16.072782
Kansas	Ellis	26.096978	22.951369
Kansas	Ford	31.09304	27.844001
Kansas	Franklin	33.612375	26.374829
Kansas	Hamilton	18.586089	13.812785
Kansas	Lincoln	19.487525	14.685792
Kansas	Miami	31.717824	26.567701
Kansas	Neosho	31.635802	23.772569
Kansas	Phillips	14.892788	11.261261
Kansas	Rawlins	13.157895	11.07337
Kansas	Reno	33.105397	28.240397
Kansas	Stanton	18.84058	18.053375
Kansas	Wyandotte	67.606133	61.798651
Kentucky	Anderson	32.122093	23.06076
Kentucky	Barren	32.59295	23.123107
Kentucky	Bell	23.454967	17.699115
Kentucky	Boyle	36.135133	33.068129
Kentucky	Bracken	35.488861	19.988659
Kentucky	Caldwell	31.604096	21.087866
Kentucky	Cumberland	20.988087	14.970646
Kentucky	Fayette	49.322295	51.188791
Kentucky	Fleming	33.050847	21.533546
Kentucky	Greenup	39.734968	25.471524
Kentucky	Knott	24.942912	21.603332
Kentucky	Madison	34.547746	31.556555
Kentucky	Mercer	29.842036	22.626358
Kentucky	Muhlenberg	37.451919	25.053599
Kentucky	Oldham	30.919556	31.254376
Kentucky	Powell	36.152644	25.660682
Kentucky	Rowan	44.853229	37.240054
Kentucky	Shelby	35.546268	30.495627
Kentucky	Todd	29.737177	21.803725
Kentucky	Trimble	38.244426	23.14376
Louisiana	Bossier	26.679297	25.359092
Louisiana	Caldwell	21.543681	16.794544
Louisiana	East Baton Rouge	51.801727	52.332168
Louisiana	Franklin	31.287489	27.352107
Louisiana	Sabine	21.824331	17.400633
Louisiana	St. Martin	37.046357	32.100971
Maine	Kennebec	55.227806	44.257492
Maine	Knox	59.922056	53.756426
Maine	Lincoln	54.511731	47.625913
Maine	Sagadahoc	56.848129	49.333827
Maryland	Garrett	23.744015	18.321319
Maryland	Montgomery	70.922297	74.724823
Maryland	Worcester	40.167761	34.495809
Massachusetts	Barnstable	53.203621	54.107962
Massachusetts	Bristol	59.195309	52.032664
Massachusetts	Essex	57.403571	58.522961
Massachusetts	Franklin	71.698713	64.117139
Michigan	Arenac	46.792501	30.977131
Michigan	Calhoun	50.177448	41.01219
Michigan	Kalamazoo	56.0579	53.1659
